result,queue,major,minor
HIT,LLTI
HIT,LLTJ,LLTJ
HIT,LLTJ,LLJT
HIT,LLTJ,LTLJ
HIT,LLTJ,LTJL
HIT,LLTJ,LJLT
HIT,LLTJ,LJTL
HIT,LLTJ,TLLJ,TIJ
HIT,LLTJ,TLLJ,TIL
HIT,LLTJ,TLLJ,TIO
HIT,LLTJ,TLLJ,TIS
HIT,LLTJ,TLLJ,TIZ
HIT,LLTJ,TLLJ,TJI
HIT,LLTJ,TLLJ,TJL
HIT,LLTJ,TLLJ,TJO
HIT,LLTJ,TLLJ,TJS
HIT,LLTJ,TLLJ,TJZ
HIT,LLTJ,TLLJ,TLI
MISS,LLTJ,TLLJ,TLJ
MISS,LLTJ,TLLJ,TLO
MISS,LLTJ,TLLJ,TLS
MISS,LLTJ,TLLJ,TLZ
MISS,LLTJ,TLLJ,TOI
MISS,LLTJ,TLLJ,TOJ
MISS,LLTJ,TLLJ,TOL
MISS,LLTJ,TLLJ,TOS
MISS,LLTJ,TLLJ,TOZ
MISS,LLTJ,TLLJ,TSI
MISS,LLTJ,TLLJ,TSJ
MISS,LLTJ,TLLJ,TSL
MISS,LLTJ,TLLJ,TSO
MISS,LLTJ,TLLJ,TSZ
MISS,LLTJ,TLLJ,TZI
MISS,LLTJ,TLLJ,TZJ
MISS,LLTJ,TLLJ,TZL
MISS,LLTJ,TLLJ,TZO
MISS,LLTJ,TLLJ,TZS
MISS,LLTJ,TLLJ,ITJ
MISS,LLTJ,TLLJ,ITL
MISS,LLTJ,TLLJ,ITO
MISS,LLTJ,TLLJ,ITS
MISS,LLTJ,TLLJ,ITZ
MISS,LLTJ,TLLJ,IJT
MISS,LLTJ,TLLJ,IJL
MISS,LLTJ,TLLJ,IJO
MISS,LLTJ,TLLJ,IJS
MISS,LLTJ,TLLJ,IJZ
MISS,LLTJ,TLLJ,ILT
MISS,LLTJ,TLLJ,ILJ
MISS,LLTJ,TLLJ,ILO
MISS,LLTJ,TLLJ,ILS
MISS,LLTJ,TLLJ,ILZ
MISS,LLTJ,TLLJ,IOT
MISS,LLTJ,TLLJ,IOJ
MISS,LLTJ,TLLJ,IOL
MISS,LLTJ,TLLJ,IOS
MISS,LLTJ,TLLJ,IOZ
MISS,LLTJ,TLLJ,IST
MISS,LLTJ,TLLJ,ISJ
MISS,LLTJ,TLLJ,ISL
MISS,LLTJ,TLLJ,ISO
MISS,LLTJ,TLLJ,ISZ
MISS,LLTJ,TLLJ,IZT
MISS,LLTJ,TLLJ,IZJ
MISS,LLTJ,TLLJ,IZL
MISS,LLTJ,TLLJ,IZO
MISS,LLTJ,TLLJ,IZS
MISS,LLTJ,TLLJ,JTI
MISS,LLTJ,TLLJ,JTL
MISS,LLTJ,TLLJ,JTO
MISS,LLTJ,TLLJ,JTS
MISS,LLTJ,TLLJ,JTZ
MISS,LLTJ,TLLJ,JIT
MISS,LLTJ,TLLJ,JIL
MISS,LLTJ,TLLJ,JIO
MISS,LLTJ,TLLJ,JIS
MISS,LLTJ,TLLJ,JIZ
MISS,LLTJ,TLLJ,JLT
MISS,LLTJ,TLLJ,JLI
MISS,LLTJ,TLLJ,JLO
MISS,LLTJ,TLLJ,JLS
MISS,LLTJ,TLLJ,JLZ
MISS,LLTJ,TLLJ,JOT
MISS,LLTJ,TLLJ,JOI
MISS,LLTJ,TLLJ,JOL
MISS,LLTJ,TLLJ,JOS
MISS,LLTJ,TLLJ,JOZ
MISS,LLTJ,TLLJ,JST
MISS,LLTJ,TLLJ,JSI
MISS,LLTJ,TLLJ,JSL
MISS,LLTJ,TLLJ,JSO
MISS,LLTJ,TLLJ,JSZ
MISS,LLTJ,TLLJ,JZT
MISS,LLTJ,TLLJ,JZI
MISS,LLTJ,TLLJ,JZL
MISS,LLTJ,TLLJ,JZO
MISS,LLTJ,TLLJ,JZS
MISS,LLTJ,TLLJ,LTI
MISS,LLTJ,TLLJ,LTJ
MISS,LLTJ,TLLJ,LTO
MISS,LLTJ,TLLJ,LTS
MISS,LLTJ,TLLJ,LTZ
MISS,LLTJ,TLLJ,LIT
MISS,LLTJ,TLLJ,LIJ
MISS,LLTJ,TLLJ,LIO
MISS,LLTJ,TLLJ,LIS
MISS,LLTJ,TLLJ,LIZ
MISS,LLTJ,TLLJ,LJT
MISS,LLTJ,TLLJ,LJI
MISS,LLTJ,TLLJ,LJO
MISS,LLTJ,TLLJ,LJS
MISS,LLTJ,TLLJ,LJZ
MISS,LLTJ,TLLJ,LOT
MISS,LLTJ,TLLJ,LOI
MISS,LLTJ,TLLJ,LOJ
MISS,LLTJ,TLLJ,LOS
MISS,LLTJ,TLLJ,LOZ
